# ZTF_name    RA(deg)           Dec(deg)      MJD_hetdex   ZTF_name     s/n       chi^2    redshift   
ZTF18aaiwfgo 197.1792255375 55.523985787499996 58958	ZTF18aaiwfgo	8.019849 1.215219 0.280000
ZTF18aajlvsx 191.27057373418367 50.74618325459184 58578	ZTF18aajlvsx	10.027414 0.634046 0.130000
ZTF18aakqshm 210.70565677500002 54.310953325 58969	ZTF18aakqshm	16.247349 1.299311 0.230000
ZTF18aaktpmg 211.12251518888888 54.396368 58990	        ZTF18aaktpmg	9.213930 11.225912 0.420000
ZTF18aaqkxzg 181.32393094333335 52.01919981666667 58607	ZTF18aaqkxzg	10.056155 0.496593 0.190000
ZTF18aaxqtbj 205.14703129999998 55.82544566944445 58952	ZTF18aaxqtbj	13.992484 1.238340 0.240000
ZTF18aceyycp 183.51815463880598 55.68005291492537 58953	ZTF18aceyycp	9.229902 0.628022 0.210000
ZTF19aalbcut 205.27548140350876 51.24404241929824 58247	ZTF19aalbcut	14.660551 4.476998 0.420000
ZTF19aarioyj 170.12346180999998 52.246434145 58939	ZTF19aarioyj	11.277354 1.334557 0.170000
ZTF19aasbotx 205.83806468000003 51.5412166 58521	ZTF19aasbotx	11.421586 1.258710 0.270000
ZTF19aasccum 187.94524264375 55.5511767125 58991	ZTF19aasccum	5.307379 2.683274 0.520000
ZTF19acllhlh 21.370144851612896 -0.0989172677419  58069	ZTF19acllhlh	21.581672 1.677664 0.410000
ZTF20aabqori 165.21254092619048 51.5839663952381 58601	ZTF20aabqori	18.727897 1.055111 0.210000
ZTF20aadbtju 170.1861226 50.55625136 58880	        ZTF20aadbtju	10.575058 1.656518 0.310000
ZTF20aahgivv 213.75166165 52.116281125 58602	        ZTF20aahgivv	8.961496 1.550315 0.420000
ZTF20aaicqat 161.0828684 50.61372235 58820	        ZTF20aaicqat	5.612301 1.093255 0.820000
ZTF20aaivjyq 24.863446393333337 0.158701456666666 58433	ZTF20aaivjyq	32.118447 6.445435 0.500000
ZTF20aajbuhw 173.97131885555552 52.3531002 58852	ZTF20aajbuhw	5.797733 0.900110 0.280000
ZTF20aajcmsc 179.3185416352941 51.03928735294118 58217	ZTF20aajcmsc	9.305860 0.439205 0.180000
ZTF20aaliybg 187.69492585625 50.70740686875 58576	ZTF20aaliybg	14.406290 1.736915 0.260000
ZTF20aankago 187.2873886690476 56.1858718190476 58964	ZTF20aankago	7.909357 0.918911 0.860000
ZTF20aaoyjbk 183.97727496666667 55.82368676666666 58988	ZTF20aaoyjbk	10.921273 1.917098 0.490000
ZTF20aaoykbt 181.10837524864863 55.60632206936937 58952	ZTF20aaoykbt	11.357160 1.618187 0.410000
ZTF20aappepk 236.00564818333336 53.68035927083333 58983	ZTF20aappepk	4.939791 2.397034 2.290000
ZTF20aaqpzao 196.09139189827584 56.13807564310345 58959	ZTF20aaqpzao	18.377240 1.252943 0.300000
ZTF20aarsdui 181.3383616333333 55.593311699999994 58952	ZTF20aarsdui	4.374780 8.094656 1.570000
ZTF20aasjgqr 216.38754032857145 53.88509372857142 58985	ZTF20aasjgqr	5.470591 0.971190 0.790000
ZTF20aaxalny 218.22552899230772 50.99385073846154 58633	ZTF20aaxalny	11.578283 0.994586 0.350000
ZTF20abakioq 237.06713291025642 53.32749488717949 59022	ZTF20abakioq	4.314750 2.050851 0.450000
ZTF20abbfimy 236.00578363333332 53.68036144444444 58983	ZTF20abbfimy	4.823079 2.314820 1.590000
ZTF20abcamux 179.31834379469694 51.03931423030303 58217	ZTF20abcamux	9.199763 0.452266 0.180000
ZTF20abcjsvg 183.14364729259256 55.08126743333333 58957	ZTF20abcjsvg	2.533684 0.373144 0.810000
ZTF20abrigbg 11.244604358333333 0.722180510416666 58703	ZTF20abrigbg	5.055197 0.635297 0.350000
ZTF20abwfqoj 25.346272405555556 -0.40615408888888 58704	ZTF20abwfqoj	9.746044 5.679933 0.570000
ZTF20abxpvdk 34.729388400000005 0.715858025 58806	ZTF20abxpvdk	5.573453 1.704668 0.600000
ZTF20abxrxbh 270.03111431052633 65.08574258421052 58697	ZTF20abxrxbh	17.893219 3.904189 0.570000
ZTF20abxrxbh 270.03111431052633 65.08574258421052 58698	ZTF20abxrxbh	17.893219 3.904189 0.570000
ZTF20ackoaaa 25.54511688571429 -0.983780385714285 58841	ZTF20ackoaaa	5.548453 0.904302 0.800000
ZTF20acpzigz 182.70873930864198 51.75221193456789 58601	ZTF20acpzigz	7.769463 0.779605 0.910000
ZTF20acxtdub 210.97350543636367 51.4552412 58254	ZTF20acxtdub	11.507532 1.578434 0.210000
ZTF21aandbyi 237.06706159473686 53.32748582105263 59022	ZTF21aandbyi	4.360157 2.019560 0.450000
ZTF21aaplbpm 235.99865698 53.984124439999995 58963	ZTF21aaplbpm	5.022319 3.934202 0.460000
ZTF21aavdhbj 201.2218683875 51.3164800375 58256	        ZTF21aavdhbj	3.185907 1.811032 0.800000
ZTF21aavdugs 225.8414935586957 53.75662206304347 58964	ZTF21aavdugs	10.412474 1.142342 1.570000
ZTF21aayehok 170.74206253333332 50.67555218333334 58872	ZTF21aayehok	6.749580 3.470079 0.490000
ZTF21aazcpmg 238.22192562499998 53.56637002500000 58994	ZTF21aazcpmg	3.772276 2.071154 0.530000
ZTF21aazrcye 223.47940996666668 52.13491486666666 58605	ZTF21aazrcye	5.937922 0.880203 0.310000
ZTF21aazrcye 223.47940996666668 52.13491486666666 58880	ZTF21aazrcye	5.937922 0.880203 0.310000
ZTF21aazxsci 222.329964325 51.647987275 58610	        ZTF21aazxsci	8.802193 1.279222 0.200000
ZTF21abatxlh 219.49443741052627 51.25969593157894 58549 ZTF21abatxlh	7.272476 3.724946 0.590000 	 
ZTF21abiimfm 214.16505774 54.72885496 58965		ZTF21abiimfm	20.445072 2.473000 0.490000
