# name, ra, dec, mjd_ztf1, mjd_ztf2, mjd_hetdex, alerce_type, alerce_prob, spec_type, s/n, chi^2, redshift, classif
ZTF17aaclhdu 33.362691350000006 -0.876159075 58781.3 59079.5 58862 AGN 0.46419042 G0V 16.443247 0.938174 0 star
ZTF17aacxluh 35.67012911764704 -0.4791377500000001 58372.5 59537.3 58780 VS 0.70049924 G0V 8.052204 0.881299 0 star
ZTF17aacxnlz 36.274092975 -0.03991692499999999 58434.3 59079.5 58847 VS 0.79458135 F8V 19.989648 1.423554 0 star
ZTF17aacxnne 36.054145733333335 -0.13226126666666668 58434.3 58900.2 58374 VS 0.796039 G0V 4.544698 0.856324 0 star
ZTF17aacxojc 33.504006319999995 0.15954458 58431.2 59222.2 58430 VS 0.6705667 G5V 16.027749 2.744623 0 star
ZTF17aadgrjy 33.359873283333336 -0.4191772 58434.3 59079.5 58782 VS 0.69525766 K4III 13.534248 2.565789 0 star
ZTF18aabymgs 218.90805163333334 50.4241295 58311.2 59372.3 58933 VS 0.70479995 G5V 19.878466 1.063840 0 star
ZTF18aabymlr 222.82886233999997 51.40147028 58255.3 59026.2 58254 VS 0.52924496 F8V 16.821615 0.887812 0 star
ZTF18aagshle 218.79290360666667 51.35930028666667 58334.2 59452.2 58253 VS 0.6666834 G8V 12.846809 0.896352 0 star
ZTF18aagstka 226.9375771993976 51.45284761204819 58255.3 59641.4 58660 SN 0.43703103 SB4 3.127538 0.260927 0.045000 gx
ZTF18aaguppa 230.02485526666666 51.149541400000004 59067.2 59094.2 58173 -- -- pickles_uk_40 0.959313 1.319916 0 low
ZTF18aaguppa 230.02485526666666 51.149541400000004 59067.2 59094.2 58254 -- -- pickles_uk_40 0.959313 1.319916 0 low
ZTF18aagvioh 208.41475843333333 51.17130903333333 58312.2 58331.2 58159 bogus 0.71913254 F0V 6.046267 2.953459 0 star
ZTF18aahadoa 220.04343183333333 51.1774182 58692.2 59423.3 58221 VS 0.75135946 K0V 6.469127 0.859361 0 star
ZTF18aahbzts 209.7055541666667 50.8211445 59268.5 59383.3 58582 SN 0.45759273 K7V 6.582320 0.934973 0 star
ZTF18aahcncp 222.86885513333337 51.39484971666667 58890.5 59037.2 58254 VS 0.6013453 K7V 7.933077 0.801444 0 star
ZTF18aahjmat 229.71701105585586 51.16619840180178 58294.2 59434.2 58196 AGN 0.7576619 Sa 7.661120 3.757853 0.013000 gx
ZTF18aahwagk 188.97047876666667 51.2208799 58830.6 58846.6 58194 bogus 0.42306662 K0V 4.869193 1.841006 0 star
ZTF18aahxxcy 213.7157857666667 50.40257106666667 58486.6 58494.5 58933 SN 0.6946883 E 14.390835 1.472353 0.074000 gx
ZTF18aahybjw 220.1312687 51.3046084 58311.2 59336.3 58249 AGN 0.5658382 F6V 24.557163 1.453821 0 star
ZTF18aaieiyz 177.757309232971 50.91581714710145 58279.2 59525.4 58824 AGN 0.7672822 Sa 13.898298 2.357760 0.125000 gx
ZTF18aaiidgi 191.6115012142857 50.79203252857143 58511.5 59381.2 58908 bogus 0.7458348 Sa 18.909289 1.971128 0.027000 gx
ZTF18aaikxix 218.89097162 52.038474840000006 58282.2 58311.2 58882 SN 0.47108656 pickles_uk_31 2.254546 2.497960 0 low
ZTF18aaiscil 185.39253356539683 55.574436308359786 58242.3 59641.3 58992 AGN 0.59187704 pickles_uk_107 2.965377 0.945106 0 low
ZTF18aaisfui 185.66564119999998 51.37531593333333 58272.2 58279.2 58495 bogus 0.6509046 F02IV 3.744855 1.987360 0 star
ZTF18aaisjip 199.13813466666664 51.43531607777778 58272.2 58337.2 58600 bogus 0.5659324 S0 6.905541 4.619855 0.024000 gx
ZTF18aaiszhe 197.97083695999999 51.69209624 58272.2 58337.2 58549 bogus 0.64627457 pickles_uk_31 1.983349 3.128788 0 low
ZTF18aaitpuw 221.86611371428575 51.206629351190486 58291.3 59639.4 58255 bogus 0.52545816 -- 0.001 0.001 0 low
ZTF18aaitqax 204.68310222 52.0218818 58288.3 58307.2 58582 bogus 0.7486318 pickles_uk_51 2.213239 1.897386 0 low
ZTF18aaitqax 204.68310222 52.0218818 58288.3 58307.2 58881 bogus 0.7486318 pickles_uk_51 2.213239 1.897386 0 low
ZTF18aaiuokc 204.77594956666667 51.5337423 58307.2 58337.2 58471 bogus 0.5047103 -- 0.001 0.001 0 low
ZTF18aaiurpe 186.37125365 56.136777800000004 58440.5 59227.4 58953 VS 0.7021254 K0V 9.622444 1.069732 0 star
ZTF18aaivvmy 230.1999926 51.15480610000001 58300.2 58325.2 58173 bogus 0.8486258 F8V 3.888230 2.784198 0 star
ZTF18aaivvmy 230.1999926 51.15480610000001 58300.2 58325.2 58254 bogus 0.8486258 F8V 3.888230 2.784198 0 star
ZTF18aaivxgc 232.2087371 51.240577433333335 58308.2 58378.2 58162 bogus 0.65462 -- 0.001 0.001 0 low
ZTF18aaivxgc 232.2087371 51.240577433333335 58308.2 58378.2 58244 bogus 0.65462 -- 0.001 0.001 0 low
ZTF18aaiwfgo 197.1792255375 55.523985787499996 59291.3 59316.3 58958 AGN 0.6535474 Sa 8.019849 1.989028 0.079000 agn
ZTF18aaixanj 235.14721710000003 53.211923333333324 58308.2 58331.2 58997 bogus 0.68920547 pickles_uk_71 0.776227 3.865263 0 low
ZTF18aaixfbb 229.99663900909093 51.287204990909096 58311.2 58365.1 58314 bogus 0.50521475 Sa 3.674209 1.815642 0.000000 gx
ZTF18aajizux 181.3839873857143 51.504489514285716 58269.2 58282.2 58932 AGN 0.39381516 S0 17.128129 2.147092 0.028000 gx
ZTF18aajkgmv 181.09464027777778 51.37352362222222 59307.2 59641.3 58543 AGN 0.36640954 Sa 5.089232 2.387494 0.063000 gx
ZTF18aajlvsx 191.27057373418367 50.74618325459184 58279.2 59397.2 58578 AGN 0.77335215 SB6 10.027414 2.013855 0.129000 agn
ZTF18aajotdi 197.39280729333333 55.771241723333326 58258.3 59637.4 58961 VS 0.6175875 G0V 16.227079 0.797202 0 star
ZTF18aajousz 202.59173733333333 51.55627073333333 58307.2 58337.2 58641 bogus 0.72607404 pickles_uk_100 -0.529009 0.831084 0 low
ZTF18aajowkq 190.10292313333332 51.54329920000001 58276.2 58279.2 58656 bogus 0.66827095 pickles_uk_79 0.558980 1.352432 0 low
ZTF18aajpbwq 213.18677542 51.469085199999995 58255.2 58279.2 58850 bogus 0.7227297 F6V 18.232131 1.214144 0 star
ZTF18aajpoph 210.8020774538462 54.34881968461538 58279.2 59252.5 58969 AGN 0.4913935 F5V 21.116064 1.637788 0 star
ZTF18aajpoph 210.8020774538462 54.34881968461538 58279.2 59252.5 59022 AGN 0.4913935 F5V 21.116064 1.637788 0 star
ZTF18aajpqim 229.20588303999997 53.783515480000005 58242.3 58282.3 58991 -- -- pickles_uk_108 0.562085 3.289521 0 low
ZTF18aajprsy 220.58331141666667 51.33525181666666 58282.3 59225.5 58695 VS 0.7660268 Sa 7.227248 2.041111 0.009000 agn
ZTF18aajqgnf 189.179109 55.59022686666666 58257.3 58279.2 59015 bogus 0.5983812 -- 0.001 0.001 0 low
ZTF18aajqyfc 202.80323062000002 52.13186456 58266.3 58334.2 58855 bogus 0.693513 -- 0.001 0.001 0 low
ZTF18aajrido 225.4956178 52.1240991 58288.3 58307.2 58583 bogus 0.8085118 pickles_uk_100 -0.072298 1.315156 0 low
ZTF18aajridp 224.90471203333334 52.7368032 58282.2 58294.2 58954 bogus 0.43330795 -- 0.001 0.001 0 low
ZTF18aajrioj 222.393928775 51.383681475 59329.3 59356.4 58605 bogus 0.5217362 pickles_uk_7 0.277144 1.222961 0 low
ZTF18aajrmto 210.61763404347826 54.274003308695654 58242.2 59342.4 58969 AGN 0.56043285 SB5 10.694665 6.667110 0.001000 gx
ZTF18aajrmuf 210.8851546 54.28897713333334 58242.3 58312.2 58997 AGN 0.39881164 SB5 1.960409 0.983118 0.001000 gx
ZTF18aajrmuk 210.86806932857144 54.358776999999996 58242.2 58331.2 58990 SN 0.37753972 SB5 2.299726 0.330946 0.001000 gx
ZTF18aajrmuk 210.86806932857144 54.358776999999996 58242.2 58331.2 59022 SN 0.37753972 SB5 2.299726 0.330946 0.001000 gx
ZTF18aajrmun 210.8018369857143 54.29861657142857 58312.2 59342.4 59022 bogus 0.33735082 SB6 8.253231 0.585923 0.000000 gx
ZTF18aajrmuu 210.68034082 54.33692982 58255.2 58282.2 59022 AGN 0.74100566 E 15.805995 3.572121 0.051000 gx
ZTF18aajythw 210.88059354 54.354052530000004 58242.2 58337.2 58986 AGN 0.59115905 SB5 3.184197 2.118224 0.001000 gx
ZTF18aajythw 210.88059354 54.354052530000004 58242.2 58337.2 59022 AGN 0.59115905 SB5 3.184197 2.118224 0.001000 gx
ZTF18aajytid 210.86487609999998 54.31302590000001 58306.2 58331.2 58969 SN 0.3779109 SB5 3.701998 1.057493 0.001000 gx
ZTF18aajytid 210.86487609999998 54.31302590000001 58306.2 58331.2 58992 SN 0.3779109 SB5 3.701998 1.057493 0.001000 gx
ZTF18aajytjj 210.8484966625 54.42481085 58242.2 59255.4 58986 AGN 0.584396 Sc 1.995786 0.539037 0.001000 gx
ZTF18aajytjr 210.6126624 54.32991883333333 58255.2 58282.2 59022 AGN 0.5651334 SB5 4.618705 0.467083 0.000000 gx
ZTF18aajytjw 211.2304450125 54.44126515 58255.2 59349.3 58986 AGN 0.67340386 pickles_uk_100 -1.124226 1.858219 0 low
ZTF18aajytkd 210.62343848 54.27068498999999 58242.2 58635.3 58969 AGN 0.44840384 SB5 14.744853 10.488244 0.001000 gx
ZTF18aajytkh 210.55599715 54.022658224999994 58276.3 58303.2 58992 AGN 0.60934263 G8V 12.683002 1.221405 0 star
ZTF18aajytkl 210.8651718111111 54.312828322222224 58255.2 59342.4 58969 AGN 0.42934144 SB5 3.810972 1.021066 0.001000 gx
ZTF18aajytkl 210.8651718111111 54.312828322222224 58255.2 59342.4 58992 AGN 0.42934144 SB5 3.810972 1.021066 0.001000 gx
ZTF18aakebhi 206.08168010487483 51.4402253347826 58248.2 59641.4 58521 AGN 0.6606436 Sa 12.951820 1.262016 0.063000 gx
ZTF18aakebod 206.08167315925925 51.440189857777774 58258.3 59419.3 58521 AGN 0.6800044 Sa 12.956467 1.255840 0.063000 gx
ZTF18aakende 208.8308052625 55.6557607625 58644.2 59550.5 58958 AGN 0.517458 M3V 6.724766 3.830836 0 star
ZTF18aakgdcf 226.16326936666667 51.8618305 58480.5 59281.3 58932 VS 0.51293415 G5III 14.501779 1.051487 0 star
ZTF18aakjfoe 238.57073980000004 53.7839133 58748.1 59384.2 58990 AGN 0.40773866 F8V 17.443927 1.946144 0 star
ZTF18aakjjye 232.81746767777778 53.89629887777778 58905.5 59419.3 58992 VS 0.47611246 K4III 9.526397 0.935453 0 star
ZTF18aakpjfx 190.82861606 52.2721413 58257.3 58279.2 58931 bogus 0.6973406 pickles_uk_100 -0.742775 0.734492 0 low
ZTF18aakqnyj 211.174371025 54.3940465375 58255.2 58300.2 58986 AGN 0.58952516 E 11.958111 2.302032 0.100000 gx
ZTF18aakqnyt 211.30126165000001 54.428963325000005 58276.3 58282.2 58986 AGN 0.75187397 Sb 12.055408 2.251648 0.079000 gx
ZTF18aakqnyu 210.5845691333333 54.33410816666666 58242.2 58272.2 58986 AGN 0.65051585 Sc 8.359980 95.642395 0.001000 gx
ZTF18aakqnyu 210.5845691333333 54.33410816666666 58242.2 58272.2 59022 AGN 0.65051585 Sc 8.359980 95.642395 0.001000 gx
ZTF18aakqnzg 211.16646849999998 54.3876021 58276.3 58282.2 58986 AGN 0.60043246 Sa 13.719228 2.238850 0.080000 gx
ZTF18aakqosu 217.29537100000002 53.802249933333336 58272.2 58282.2 58983 bogus 0.6539094 pickles_uk_73 0.651577 1.815128 0 low
ZTF18aakqsgv 210.62266416666668 54.33079273333333 58242.3 58272.2 59022 AGN 0.44514155 SB5 2.799534 1.037014 0.000000 gx
ZTF18aakqshm 210.70565677500002 54.310953325 58255.2 58282.2 58969 AGN 0.4660319 Sa 16.247349 2.533817 0.012000 agn
ZTF18aakqshr 210.818523475 54.280534125 58255.2 58300.2 58997 AGN 0.6791747 pickles_uk_100 -0.296293 0.579529 0 low
ZTF18aakqsia 211.17469026666663 54.406251766666664 58276.3 58282.2 58986 AGN 0.632991 Sa 15.515957 4.514401 0.083000 gx
ZTF18aakrird 204.0303382333333 51.889004199999995 58431.5 58900.4 58630 VS 0.5907203 F02IV 29.218569 1.848647 0 star
ZTF18aakscuy 181.19981965 51.852207925 58269.2 58282.2 58607 AGN 0.7204691 Sb 20.371510 3.156036 0.060000 gx
ZTF18aaksmqh 212.6272375285714 54.82420847142857 58272.2 59427.2 58996 AGN 0.76838374 E 18.014796 2.262663 0.040000 gx
ZTF18aaksquo 210.91333379999998 54.250981725 58255.2 58331.2 58992 AGN 0.7924245 E 7.960204 1.836702 0.161000 gx
ZTF18aaksqvg 210.86487372500002 54.394643475 58272.2 58282.2 58986 AGN 0.61834097 Sc 1.964132 0.367591 0.001000 gx
ZTF18aaksqvg 210.86487372500002 54.394643475 58272.2 58282.2 59022 AGN 0.61834097 Sc 1.964132 0.367591 0.001000 gx
ZTF18aaksqvi 210.89889783333334 54.299896100000005 58255.2 58282.2 58997 AGN 0.62270665 Sc 1.960443 0.351222 0.001000 gx
ZTF18aaksqxf 211.52510049999998 54.828854375 58276.3 58312.2 59017 AGN 0.7644966 SB6 13.156225 4.043977 0.086000 gx
ZTF18aaktpmg 211.12251518888888 54.396368 58242.2 59321.4 58990 AGN 0.607868 SB3 9.213930 9.731948 0.067000 agn
ZTF18aaktpmn 210.86771368 54.34217706 58258.2 58337.2 58997 AGN 0.34176877 SB5 4.632068 0.317883 0.001000 gx
ZTF18aaktwfg 210.8192089 54.284059633333335 58255.2 58282.2 58997 bogus 0.8814602 pickles_uk_100 -0.045465 2.647575 0 low
ZTF18aakurbd 230.69345896666664 53.834496699999995 58707.2 58732.3 58982 bogus 0.7361373 pickles_uk_100 -1.113057 3.648744 0 low
ZTF18aakutpq 231.57111011249998 52.86621205 58299.3 58337.2 59015 bogus 0.8042708 K0III 4.077292 4.841023 0 star
ZTF18aakwenj 230.54047061428568 53.923584085714275 58707.2 58724.3 58967 bogus 0.5683136 pickles_uk_22 2.060798 1.297663 0 low
ZTF18aakweqb 232.20952965 51.240485433333326 58255.3 58281.2 58162 -- -- pickles_uk_121 0.200242 2.345098 0 low
ZTF18aakweqb 232.20952965 51.240485433333326 58255.3 58281.2 58244 -- -- pickles_uk_121 0.200242 2.345098 0 low
ZTF18aakwfnl 239.27049142 53.19712358 58290.3 58378.1 59026 bogus 0.73649704 pickles_uk_108 0.805598 1.279516 0 low
ZTF18aakwnod 210.85417925000002 54.28655221666668 58242.2 58288.2 58969 AGN 0.49295053 B1V 10.671452 0.911254 0 star
ZTF18aakwnod 210.85417925000002 54.28655221666668 58242.2 58288.2 58992 AGN 0.49295053 B1V 10.671452 0.911254 0 star
ZTF18aakxbif 223.12054751666673 51.383563666666674 58255.3 58279.3 58610 bogus 0.73152685 G5V 3.271528 5.825867 0 star
ZTF18aakxclj 225.50490922 52.12399234000001 58307.2 58575.4 58583 bogus 0.62889475 pickles_uk_28 1.426915 1.414661 0 low
ZTF18aakxeyb 224.96101493333333 51.72894313333333 58304.2 58334.2 58549 bogus 0.8390966 pickles_uk_124 3.175858 2.026399 0 low
ZTF18aakxfec 225.74903865 52.167081325 58272.2 58282.3 58690 bogus 0.79568154 G8V 3.562446 3.222589 0 star
ZTF18aakxfqw 223.24546213333335 51.2836167 58255.3 58472.5 58251 bogus 0.766331 pickles_uk_56 0.490289 1.209018 0 low
ZTF18aakxirh 211.12145610000002 54.39671054 58272.2 59550.5 58990 bogus 0.6259234 SB5 10.317512 10.797614 0.001000 gx
ZTF18aalbxmw 232.49585081666666 51.32511714999999 58258.4 58287.3 58304 bogus 0.7291646 pickles_uk_117 0.609586 1.235533 0 low
ZTF18aalhhiw 241.25602800000001 53.56556785 58255.4 58328.2 58962 bogus 0.7669472 pickles_uk_131 2.105621 5.799939 0 low
ZTF18aalqdkb 193.93628523333334 55.31204058333333 58242.2 58282.2 59014 AGN 0.5316395 Sb 18.645069 2.627220 0.064000 gx
ZTF18aalucbs 232.20989817999998 51.24038168 58272.3 58302.2 58162 bogus 0.7422557 pickles_uk_100 -0.057984 1.070536 0 low
ZTF18aalucbs 232.20989817999998 51.24038168 58272.3 58302.2 58244 bogus 0.7422557 pickles_uk_100 -0.057984 1.070536 0 low
ZTF18aalvbbh 186.41237406666667 55.70815563333333 59281.2 59366.2 58954 AGN 0.28838056 S0 18.304144 2.597522 0.033000 gx
ZTF18aambjml 195.13184901542553 55.914977572340426 58248.2 59641.3 58987 bogus 0.46831223 SB3 10.473742 1.623696 0.082000 gx
ZTF18aamboxw 200.55946785 51.844166575 58279.2 58468.5 58527 bogus 0.7996346 -- 0.001 0.001 0 low
ZTF18aambpzg 204.03667335000003 52.1507763 58258.3 58282.3 58853 bogus 0.8095531 pickles_uk_47 0.668320 0.963857 0 low
ZTF18aamcjik 227.98280913333335 53.851302266666664 58272.2 58279.3 58953 bogus 0.5539285 -- 0.001 0.001 0 low
ZTF18aamckck 223.46569023333333 52.3139011 58255.3 58282.3 58880 bogus 0.57598233 pickles_uk_12 0.638216 0.799506 0 low
ZTF18aamcktb 224.86518401666663 52.91818528333334 58272.2 58307.2 58954 bogus 0.77450466 pickles_uk_116 2.405411 1.953638 0 low
ZTF18aamcloh 223.76990529999998 53.659763766666664 58272.2 58304.2 58990 bogus 0.74841404 pickles_uk_51 0.121962 1.577770 0 low
ZTF18aamcmdv 220.74526833333334 51.2809727 58272.2 58547.5 58228 bogus 0.81404835 pickles_uk_72 2.623844 1.617151 0 low
ZTF18aamcogw 209.16977043333335 55.3053677 58269.2 58276.3 58959 bogus 0.7828684 -- 0.001 0.001 0 low
ZTF18aamdsgj 220.89109813333334 51.39585966666667 58276.3 58487.6 58517 bogus 0.53606963 pickles_uk_62 0.441756 1.229920 0 low
ZTF18aamdsgn 221.10485549999999 51.942341475 58272.2 58288.2 58686 bogus 0.53928405 -- 0.001 0.001 0 low
ZTF18aamdtit 221.72875284000003 51.38711825 58288.3 58547.5 58253 bogus 0.7286038 pickles_uk_121 0.341728 0.917315 0 low
ZTF18aamducf 225.3741473 51.966847425000005 58272.2 58282.3 58640 bogus 0.674237 -- 0.001 0.001 0 low
ZTF18aamduzf 223.327965125 53.229126575 58322.3 58343.2 59019 bogus 0.43398604 A5III 3.682465 2.036380 0 star
ZTF18aamdvma 220.57776297499998 51.334986 58282.3 58304.2 58695 bogus 0.6729744 pickles_uk_100 -0.579225 1.638908 0 low
ZTF18aamdwnt 215.08627230000002 52.87323089999999 58242.2 58272.2 57834 bogus 0.832922 pickles_uk_100 -0.066472 0.385872 0 low
