# name, ra, dec, mjd_ztf1, mjd_ztf2, mjd_hetdex, alerce_type, alerce_prob, spec_type, s/n, chi^2, redshift, classif
ZTF17aaclhdu 33.362691350000006 -0.876159075 58781.3 59079.5 58862 AGN 0.46419042 G0V 16.443247 0.938174 0 star
ZTF17aacxluh 35.67012911764704 -0.4791377500000001 58372.5 59537.3 58780 VS 0.70049924 G0V 8.052204 0.881299 0 star
ZTF17aacxnlz 36.274092975 -0.03991692499999999 58434.3 59079.5 58847 VS 0.79458135 F8V 19.989648 1.423554 0 star
ZTF17aacxnne 36.054145733333335 -0.13226126666666668 58434.3 58900.2 58374 VS 0.796039 G0V 4.544698 0.856324 0 star
ZTF17aacxojc 33.504006319999995 0.15954458 58431.2 59222.2 58430 VS 0.6705667 G5V 16.027749 2.744623 0 star
ZTF17aadgrjy 33.359873283333336 -0.4191772 58434.3 59079.5 58782 VS 0.69525766 K4III 13.534248 2.565789 0 star
ZTF18aabymgs 218.90805163333334 50.4241295 58311.2 59372.3 58933 VS 0.70479995 G5V 19.878466 1.063840 0 star
ZTF18aabymlr 222.82886233999997 51.40147028 58255.3 59026.2 58254 VS 0.52924496 F8V 16.821615 0.887812 0 star
ZTF18aagshle 218.79290360666667 51.35930028666667 58334.2 59452.2 58253 VS 0.6666834 G8V 12.846809 0.896352 0 star
ZTF18aagstka 226.9375771993976 51.45284761204819 58255.3 59641.4 58660 SN 0.43703103 SB4 3.127538 0.260927 0.045000 gx
ZTF18aaguppa 230.02485526666666 51.149541400000004 59067.2 59094.2 58173 -- -- pickles_uk_40 0.959313 1.319916 0 low
ZTF18aaguppa 230.02485526666666 51.149541400000004 59067.2 59094.2 58254 -- -- pickles_uk_40 0.959313 1.319916 0 low
ZTF18aahadoa 220.04343183333333 51.1774182 58692.2 59423.3 58221 VS 0.75135946 K0V 6.469127 0.859361 0 star
ZTF18aahbzts 209.7055541666667 50.8211445 59268.5 59383.3 58582 SN 0.45759273 K7V 6.582320 0.934973 0 star
ZTF18aahcncp 222.86885513333337 51.39484971666667 58890.5 59037.2 58254 VS 0.6013453 K7V 7.933077 0.801444 0 star
ZTF18aahjmat 229.71701105585586 51.16619840180178 58294.2 59434.2 58196 AGN 0.7576619 Sa 7.661120 3.757853 0.013000 gx
ZTF18aahxxcy 213.7157857666667 50.40257106666667 58486.6 58494.5 58933 SN 0.6946883 E 14.390835 1.472353 0.074000 gx
ZTF18aahybjw 220.1312687 51.3046084 58311.2 59336.3 58249 AGN 0.5658382 F6V 24.557163 1.453821 0 star
ZTF18aaieiyz 177.757309232971 50.91581714710145 58279.2 59525.4 58824 AGN 0.7672822 Sa 13.898298 2.357760 0.125000 gx
ZTF18aaikxix 218.89097162 52.038474840000006 58282.2 58311.2 58882 SN 0.47108656 pickles_uk_31 2.254546 2.497960 0 low
ZTF18aaiscil 185.39253356539683 55.574436308359786 58242.3 59641.3 58992 AGN 0.59187704 pickles_uk_107 2.965377 0.945106 0 low
ZTF18aaiurpe 186.37125365 56.136777800000004 58440.5 59227.4 58953 VS 0.7021254 K0V 9.622444 1.069732 0 star
ZTF18aaiwfgo 197.1792255375 55.523985787499996 59291.3 59316.3 58958 AGN 0.6535474 Sa 8.019849 1.989028 0.079000 agn
ZTF18aajizux 181.3839873857143 51.504489514285716 58269.2 58282.2 58932 AGN 0.39381516 S0 17.128129 2.147092 0.028000 gx
ZTF18aajkgmv 181.09464027777778 51.37352362222222 59307.2 59641.3 58543 AGN 0.36640954 Sa 5.089232 2.387494 0.063000 gx
ZTF18aajlvsx 191.27057373418367 50.74618325459184 58279.2 59397.2 58578 AGN 0.77335215 SB6 10.027414 2.013855 0.129000 agn
ZTF18aajotdi 197.39280729333333 55.771241723333326 58258.3 59637.4 58961 VS 0.6175875 G0V 16.227079 0.797202 0 star
ZTF18aajpoph 210.8020774538462 54.34881968461538 58279.2 59252.5 58969 AGN 0.4913935 F5V 21.116064 1.637788 0 star
ZTF18aajpoph 210.8020774538462 54.34881968461538 58279.2 59252.5 59022 AGN 0.4913935 F5V 21.116064 1.637788 0 star
ZTF18aajpqim 229.20588303999997 53.783515480000005 58242.3 58282.3 58991 -- -- pickles_uk_108 0.562085 3.289521 0 low
ZTF18aajprsy 220.58331141666667 51.33525181666666 58282.3 59225.5 58695 VS 0.7660268 Sa 7.227248 2.041111 0.009000 agn
ZTF18aajrmto 210.61763404347826 54.274003308695654 58242.2 59342.4 58969 AGN 0.56043285 SB5 10.694665 6.667110 0.001000 gx
ZTF18aajrmuf 210.8851546 54.28897713333334 58242.3 58312.2 58997 AGN 0.39881164 SB5 1.960409 0.983118 0.001000 gx
ZTF18aajrmuk 210.86806932857144 54.358776999999996 58242.2 58331.2 58990 SN 0.37753972 SB5 2.299726 0.330946 0.001000 gx
ZTF18aajrmuk 210.86806932857144 54.358776999999996 58242.2 58331.2 59022 SN 0.37753972 SB5 2.299726 0.330946 0.001000 gx
ZTF18aajrmuu 210.68034082 54.33692982 58255.2 58282.2 59022 AGN 0.74100566 E 15.805995 3.572121 0.051000 gx
ZTF18aajythw 210.88059354 54.354052530000004 58242.2 58337.2 58986 AGN 0.59115905 SB5 3.184197 2.118224 0.001000 gx
ZTF18aajythw 210.88059354 54.354052530000004 58242.2 58337.2 59022 AGN 0.59115905 SB5 3.184197 2.118224 0.001000 gx
ZTF18aajytid 210.86487609999998 54.31302590000001 58306.2 58331.2 58969 SN 0.3779109 SB5 3.701998 1.057493 0.001000 gx
ZTF18aajytid 210.86487609999998 54.31302590000001 58306.2 58331.2 58992 SN 0.3779109 SB5 3.701998 1.057493 0.001000 gx
ZTF18aajytjj 210.8484966625 54.42481085 58242.2 59255.4 58986 AGN 0.584396 Sc 1.995786 0.539037 0.001000 gx
ZTF18aajytjr 210.6126624 54.32991883333333 58255.2 58282.2 59022 AGN 0.5651334 SB5 4.618705 0.467083 0.000000 gx
ZTF18aajytjw 211.2304450125 54.44126515 58255.2 59349.3 58986 AGN 0.67340386 pickles_uk_100 -1.124226 1.858219 0 low
ZTF18aajytkd 210.62343848 54.27068498999999 58242.2 58635.3 58969 AGN 0.44840384 SB5 14.744853 10.488244 0.001000 gx
ZTF18aajytkh 210.55599715 54.022658224999994 58276.3 58303.2 58992 AGN 0.60934263 G8V 12.683002 1.221405 0 star
ZTF18aajytkl 210.8651718111111 54.312828322222224 58255.2 59342.4 58969 AGN 0.42934144 SB5 3.810972 1.021066 0.001000 gx
ZTF18aajytkl 210.8651718111111 54.312828322222224 58255.2 59342.4 58992 AGN 0.42934144 SB5 3.810972 1.021066 0.001000 gx
ZTF18aakebhi 206.08168010487483 51.4402253347826 58248.2 59641.4 58521 AGN 0.6606436 Sa 12.951820 1.262016 0.063000 gx
ZTF18aakebod 206.08167315925925 51.440189857777774 58258.3 59419.3 58521 AGN 0.6800044 Sa 12.956467 1.255840 0.063000 gx
ZTF18aakende 208.8308052625 55.6557607625 58644.2 59550.5 58958 AGN 0.517458 M3V 6.724766 3.830836 0 star
ZTF18aakgdcf 226.16326936666667 51.8618305 58480.5 59281.3 58932 VS 0.51293415 G5III 14.501779 1.051487 0 star
ZTF18aakjfoe 238.57073980000004 53.7839133 58748.1 59384.2 58990 AGN 0.40773866 F8V 17.443927 1.946144 0 star
ZTF18aakjjye 232.81746767777778 53.89629887777778 58905.5 59419.3 58992 VS 0.47611246 K4III 9.526397 0.935453 0 star
ZTF18aakqnyj 211.174371025 54.3940465375 58255.2 58300.2 58986 AGN 0.58952516 E 11.958111 2.302032 0.100000 gx
ZTF18aakqnyt 211.30126165000001 54.428963325000005 58276.3 58282.2 58986 AGN 0.75187397 Sb 12.055408 2.251648 0.079000 gx
ZTF18aakqnyu 210.5845691333333 54.33410816666666 58242.2 58272.2 58986 AGN 0.65051585 Sc 8.359980 95.642395 0.001000 gx
ZTF18aakqnyu 210.5845691333333 54.33410816666666 58242.2 58272.2 59022 AGN 0.65051585 Sc 8.359980 95.642395 0.001000 gx
ZTF18aakqnzg 211.16646849999998 54.3876021 58276.3 58282.2 58986 AGN 0.60043246 Sa 13.719228 2.238850 0.080000 gx
ZTF18aakqsgv 210.62266416666668 54.33079273333333 58242.3 58272.2 59022 AGN 0.44514155 SB5 2.799534 1.037014 0.000000 gx
ZTF18aakqshm 210.70565677500002 54.310953325 58255.2 58282.2 58969 AGN 0.4660319 Sa 16.247349 2.533817 0.012000 agn
ZTF18aakqshr 210.818523475 54.280534125 58255.2 58300.2 58997 AGN 0.6791747 pickles_uk_100 -0.296293 0.579529 0 low
ZTF18aakqsia 211.17469026666663 54.406251766666664 58276.3 58282.2 58986 AGN 0.632991 Sa 15.515957 4.514401 0.083000 gx
ZTF18aakrird 204.0303382333333 51.889004199999995 58431.5 58900.4 58630 VS 0.5907203 F02IV 29.218569 1.848647 0 star
ZTF18aakscuy 181.19981965 51.852207925 58269.2 58282.2 58607 AGN 0.7204691 Sb 20.371510 3.156036 0.060000 gx
ZTF18aaksmqh 212.6272375285714 54.82420847142857 58272.2 59427.2 58996 AGN 0.76838374 E 18.014796 2.262663 0.040000 gx
ZTF18aaksquo 210.91333379999998 54.250981725 58255.2 58331.2 58992 AGN 0.7924245 E 7.960204 1.836702 0.161000 gx
ZTF18aaksqvg 210.86487372500002 54.394643475 58272.2 58282.2 58986 AGN 0.61834097 Sc 1.964132 0.367591 0.001000 gx
ZTF18aaksqvg 210.86487372500002 54.394643475 58272.2 58282.2 59022 AGN 0.61834097 Sc 1.964132 0.367591 0.001000 gx
ZTF18aaksqvi 210.89889783333334 54.299896100000005 58255.2 58282.2 58997 AGN 0.62270665 Sc 1.960443 0.351222 0.001000 gx
ZTF18aaksqxf 211.52510049999998 54.828854375 58276.3 58312.2 59017 AGN 0.7644966 SB6 13.156225 4.043977 0.086000 gx
ZTF18aaktpmg 211.12251518888888 54.396368 58242.2 59321.4 58990 AGN 0.607868 SB3 9.213930 9.731948 0.067000 agn
ZTF18aaktpmn 210.86771368 54.34217706 58258.2 58337.2 58997 AGN 0.34176877 SB5 4.632068 0.317883 0.001000 gx
ZTF18aakweqb 232.20952965 51.240485433333326 58255.3 58281.2 58162 -- -- pickles_uk_121 0.200242 2.345098 0 low
ZTF18aakweqb 232.20952965 51.240485433333326 58255.3 58281.2 58244 -- -- pickles_uk_121 0.200242 2.345098 0 low
ZTF18aakwnod 210.85417925000002 54.28655221666668 58242.2 58288.2 58969 AGN 0.49295053 B1V 10.671452 0.911254 0 star
ZTF18aakwnod 210.85417925000002 54.28655221666668 58242.2 58288.2 58992 AGN 0.49295053 B1V 10.671452 0.911254 0 star
ZTF18aalqdkb 193.93628523333334 55.31204058333333 58242.2 58282.2 59014 AGN 0.5316395 Sb 18.645069 2.627220 0.064000 gx
ZTF18aalvbbh 186.41237406666667 55.70815563333333 59281.2 59366.2 58954 AGN 0.28838056 S0 18.304144 2.597522 0.033000 gx
ZTF18aamepuf 241.94956216666665 53.34936616666667 58272.3 58299.2 58992 SN 0.6497367 pickles_uk_100 -0.217211 1.882790 0 low
ZTF18aamfeaa 222.5300651 51.4709979 58276.3 58890.5 58307 -- -- pickles_uk_100 0.039012 0.709072 0 low
ZTF18aamggua 212.57189772 54.8536688 58272.2 59366.2 58996 AGN 0.7284746 E 17.106468 3.302020 0.042000 gx
ZTF18aamgnib 210.86547185 54.3128086 58242.2 58272.2 58969 AGN 0.3573385 SB5 3.801846 0.981011 0.001000 gx
ZTF18aamgnib 210.86547185 54.3128086 58242.2 58272.2 58992 AGN 0.3573385 SB5 3.801846 0.981011 0.001000 gx
ZTF18aamjdqb 235.9114949833333 53.89374396666667 58850.6 59365.3 58963 AGN 0.425247 G0V 18.380785 1.318420 0 star
ZTF18aamlgvn 230.1342331 51.2745172 58276.3 58337.2 58314 SN 0.41289428 pickles_uk_68 1.997805 2.336359 0 low
ZTF18aamnisj 271.46607339999997 65.775949925 58322.2 58349.2 58966 SN 0.6451071 pickles_uk_47 1.884432 4.264904 0 low
ZTF18aamsecj 198.93205917450976 55.78451947843136 58450.5 58852.6 58985 SN 0.5754337 SB6 9.273188 2.383477 0.080000 gx
ZTF18aamsjpn 183.58127525454543 51.30274011818182 58276.2 58695.2 58631 AGN 0.66298026 S0 14.299335 1.136644 0.013000 gx
ZTF18aamsqgy 184.99606100000003 55.616513116666674 59187.5 59627.5 58950 VS 0.78119606 G5V 26.520850 2.323190 0 star
ZTF18aamtszb 191.66128476212123 51.582200069696974 58486.5 59622.5 58640 AGN 0.7248399 SB3 4.585982 0.462739 0.068000 gx
ZTF18aamurkg 220.8440008 51.2054076 58462.5 58978.2 58226 VS 0.639654 K4V 8.639305 1.097030 0 star
ZTF18aamvtzs 221.14212175000003 50.751135899999994 58311.2 59423.3 58608 AGN 0.4089314 G8V 14.484504 0.994297 0 star
ZTF18aamvyxb 217.38576160000002 52.04794535 58285.2 59383.2 58875 VS 0.677146 G8V 9.659448 0.891038 0 star
ZTF18aamweit 225.73408594000003 51.20308328 58526.5 59423.3 58224 VS 0.35881808 G2V 16.533100 1.192747 0 star
ZTF18aamwfsn 209.40355515000002 51.258931999999994 58469.5 59206.5 58225 VS 0.4918323 K4III 8.688831 1.037427 0 star
ZTF18aamwxva 197.71397844 51.32805456 58660.2 59383.2 58558 AGN 0.5011779 G0V 16.814657 1.207848 0 star
ZTF18aamxfhr 208.0830922125 51.270182212499996 58431.5 59550.5 58229 VS 0.6043572 K7V 7.551226 0.828942 0 star
ZTF18aamzbrq 241.03936446666668 53.88662823333333 58850.5 58915.5 58959 AGN 0.4365283 E 17.465004 2.472227 0.034000 gx
ZTF18aanauyz 224.1744823 52.131087175 58288.3 58547.5 58587 SN 0.57585627 -- 0.001 0.001 0 low
ZTF18aanawlq 221.1112581 51.942475333333334 58660.2 59341.3 58686 VS 0.67522407 G5V 13.141639 0.872044 0 star
ZTF18aanbvgb 219.23747036666668 51.9491689 58294.2 58322.3 58930 SN 0.5564065 F5V 11.915330 1.184531 0 star
ZTF18aancaje 208.2850082 55.29894532000001 58913.5 59641.4 59019 VS 0.44582906 G5III 17.768136 1.664642 0 star
ZTF18aanykpn 268.5276055 64.9362293 58435.1 59016.3 58670 VS 0.6686536 G2V 17.516574 0.949490 0 star
ZTF18aaobgyp 181.3684468 51.47986928 58269.2 58282.2 58932 AGN 0.6056218 S0 13.546221 1.882791 0.085000 gx
ZTF18aaodgjg 193.97182203076923 55.29043702307691 58242.2 58977.2 59014 VS 0.62928087 F8IV 24.689995 2.667689 0 star
ZTF18aaorque 194.0662369 55.2930078 58242.3 58272.2 59014 AGN 0.70104754 Sa 6.914413 1.329879 0.197000 gx
ZTF18aaoszhl 202.17635201666667 55.36523401666667 58465.5 58480.6 58955 SN 0.65728384 Sa 12.448928 3.263869 0.101000 gx
ZTF18aaovsji 223.4390670125 51.186249225 59402.3 59454.2 58219 SN 0.46818426 SB1 6.968485 6.890863 0.131000 gx
ZTF18aaqdfzw 210.88362236666669 54.3821695 58242.2 58272.2 58990 AGN 0.53443533 SB5 5.082120 0.357427 0.001000 gx
ZTF18aaqdwrj 182.629987575 54.282060775 58242.3 58272.2 59017 SN 0.33591363 pickles_uk_100 -0.228648 0.404305 0 low
ZTF18aaqkxng 181.18641232500002 51.899428574999995 58269.2 58282.2 58939 AGN 0.743141 SB6 10.207554 1.836383 0.092000 gx
ZTF18aaqkxzg 181.32393094333335 52.01919981666667 58852.5 58991.2 58607 AGN 0.7737448 Sa 10.056155 1.267964 0.017000 agn
ZTF18aaqmidj 185.67609399999998 51.375824775 58300.2 59250.4 58495 SN 0.43171388 -- 0.001 0.001 0 low
ZTF18aaqmpqm 225.98648326666668 51.32510693333333 58282.2 58291.3 58282 -- -- pickles_uk_68 2.467752 2.342096 0 low
ZTF18aaqmshp 201.14765079999998 51.27490913333333 58255.2 58272.2 58256 -- -- pickles_uk_108 0.722222 3.949135 0 low
ZTF18aaqmshp 201.14765079999998 51.27490913333333 58255.2 58272.2 58581 -- -- pickles_uk_108 0.722222 3.949135 0 low
ZTF18aaqofhf 210.61278097999997 54.330008580000005 58242.2 58282.2 59022 AGN 0.53569144 SB5 4.176875 0.444391 0.000000 gx
ZTF18aarggvd 195.41471543333333 50.409119466666674 58440.5 58791.5 58842 AGN 0.44718766 M3V 6.612768 2.234842 0 star
ZTF18aastlrx 203.72998742 52.068723479999996 58294.2 58337.2 58926 SN 0.4204795 pickles_uk_100 -0.394521 1.015316 0 low
ZTF18aatcagw 225.9866817857143 51.32506415714287 58282.2 58331.2 58282 -- -- pickles_uk_69 2.809789 2.269109 0 low
ZTF18aatgarp 189.6105556236111 51.22794803194444 58846.6 59313.2 58283 AGN 0.33704615 B9V 17.464300 1.440171 0 star
ZTF18aatgsbk 182.5957078875 51.23535425 59219.4 59639.3 58157 VS 0.84580743 G8V 16.261476 1.055890 0 star
ZTF18aatgsbk 182.5957078875 51.23535425 59219.4 59639.3 58189 VS 0.84580743 G8V 16.261476 1.055890 0 star
ZTF18aatigmd 180.99715387499998 51.35356845 58567.3 59302.3 58543 VS 0.7785823 G0V 9.604399 0.637565 0 star
ZTF18aatuwve 208.14352878 51.16447798 58900.4 59397.3 58169 VS 0.80844873 F8V 20.329081 1.239051 0 star
ZTF18aatxcpa 205.87486602142857 51.03447413571428 58875.5 58980.3 58190 AGN 0.66379136 SB6 16.184063 4.788235 0.131000 gx
ZTF18aatxgja 206.82023356666664 50.760952599999996 58692.2 58977.2 58930 VS 0.5443309 K4III 9.529056 0.993812 0 star
ZTF18aauachq 236.48481280000001 53.60833401428572 58305.2 58334.2 58985 SN 0.35543063 pickles_uk_108 0.321794 0.956659 0 low
ZTF18aauhxce 177.56874487027025 51.453418537837834 58254.2 58306.2 58549 SN 0.74474907 pickles_uk_109 1.701531 1.490191 0 low
ZTF18aauhytx 171.65720703181816 51.57306666363636 58426.5 59140.5 58544 AGN 0.6531603 Sa 11.780838 1.228905 0.027000 gx
ZTF18aauhytx 171.65720703181816 51.57306666363636 58426.5 59140.5 58599 AGN 0.6531603 Sa 11.780838 1.228905 0.027000 gx
ZTF18aavapxq 228.4320377 51.3335918 59050.3 59464.2 58612 VS 0.81749564 G2V 31.617297 2.747074 0 star
ZTF18aavribu 187.0184098777778 51.44623661111111 58266.2 58288.2 58248 SN 0.7629545 pickles_uk_63 2.403575 2.009115 0 low
ZTF18aavribu 187.0184098777778 51.44623661111111 58266.2 58288.2 58824 SN 0.7629545 pickles_uk_63 2.403575 2.009115 0 low
ZTF18aavtnaq 224.007267775 51.08172007500001 58586.4 58975.3 58521 SN 0.42577583 -- 0.001 0.001 0 low
ZTF18aawdiqn 214.93326649999997 53.17857815 58899.5 59372.3 57874 AGN 0.44488046 Sa 13.477421 2.364534 0.116000 gx
ZTF18aaxgroy 272.63033650000006 64.90492013333333 58429.2 59621.5 58722 VS 0.7113433 G8V 6.046663 0.685596 0 star
